NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,WARD,CITIZENSHIP_CANADIAN_CITIZEN,CITIZENSHIP_NON_CANADIAN_CITIZEN,CITIZENSHIP_NO_RESPONSE,CITY_RESOURCE_ACCESS_CITY_WEBSITE,CITY_RESOURCE_ACCESS_311_PHONE_IN,CITY_RESOURCE_ACCESS_NEWSPAPERS,CITY_RESOURCE_ACCESS_RADIO,CITY_RESOURCE_ACCESS_COMMUNITY_NEWSLETTER,CITY_RESOURCE_ACCESS_SOCIAL_MEDIA,CITY_RESOURCE_ACCESS_IN_PERSON,CITY_RESOURCE_ACCESS_BILLBOARDS,CITY_RESOURCE_ACCESS_PAMPHLETS,CITY_RESOURCE_ACCESS_OTHER,CITY_RESOURCE_ACCESS_NO_RESPONSE,DWELLING_UNIT_OWNERSHIP_OWNED,DWELLING_UNIT_OWNERSHIP_RENTED,DWELLING_UNIT_OWNERSHIP_NO_RESPONSE,DWELLING_UNIT_STATUS_OCCUPIED,DWELLING_UNIT_STATUS_UNOCCUPIED,DWELLING_UNIT_STATUS_NO_LONGER_IN_USE,DWELLING_UNIT_STATUS_NO_RESPONSE,EMPLOYMENT_STATUS_PRESCHOOL,EMPLOYMENT_STATUS_KINDERGARTEN-GR.6,EMPLOYMENT_STATUS_GR.7-GR.9,EMPLOYMENT_STATUS_GR.10-GR.12,EMPLOYMENT_STATUS_POST_SECONDARY_STUDENT,EMPLOYMENT_STATUS_HOMEMAKER,EMPLOYMENT_STATUS_EMPLOYED_0-30_HRS,EMPLOYMENT_STATUS_EMPLOYED_30+_HRS,EMPLOYMENT_STATUS_UNEMPLOYED,EMPLOYMENT_STATUS_RETIRED,EMPLOYMENT_STATUS_PERMANENTLY_UNABLE_TO_WORK,EMPLOYMENT_STATUS_NO_RESPONSE,HOUSEHOLD_LANGUAGE_ENGLISH_ONLY,HOUSEHOLD_LANGUAGE_ARABIC,HOUSEHOLD_LANGUAGE_CANTONESE,HOUSEHOLD_LANGUAGE_FRENCH,HOUSEHOLD_LANGUAGE_GERMAN,HOUSEHOLD_LANGUAGE_MANDARIN,HOUSEHOLD_LANGUAGE_PANJABI_PUNJABI,HOUSEHOLD_LANGUAGE_SPANISH,HOUSEHOLD_LANGUAGE_TAGALOG_PILIPINO_FILIPINO,HOUSEHOLD_LANGUAGE_UKRAINIAN,HOUSEHOLD_LANGUAGE_OTHER,HOUSEHOLD_LANGUAGE_NO_RESPONSE,CAR/TRUCK/VAN_AS_DRIVER,PRIMARY_TRANSPORTATION_CAR/TRUCK/VAN_AS_PASSENGER,PRIMARY_TRANSPORTATION_TRANSIT,PRIMARY_TRANSPORTATION_WALK,PRIMARY_TRANSPORTATION_BICYCLE,PRIMARY_TRANSPORTATION_OTHER,PRIMARY_TRANSPORTATION_NO_RESPONSE,MARITAL_STATUS_MARRIED,MARITAL_STATUS_COMMON-LAW,MARITAL_STATUS_SEPARATED/DIVORCED,MARITAL_STATUS_NEVER_MARRIED,MARITAL_STATUS_WIDOWED,MARITAL_STATUS_NO_RESPONSE,PREVIOUS_RESIDENCE_ELSEWHERE_IN_EDMONTON,PREVIOUS_RESIDENCE_ELSEWHERE_IN_ALBERTA,PREVIOUS_RESIDENCE_ATLANTIC_CANADA,PREVIOUS_RESIDENCE_ONTARIO/QUEBEC,PREVIOUS_RESIDENCE_TERRITORIES/MANITOBA/SASKATCHEWAN,PREVIOUS_RESIDENCE_BRITISH_COLUMBIA,PREVIOUS_RESIDENCE_OUTSIDE_CANADA,PREVIOUS_RESIDENCE_NO_RESPONSE,SCHOOL_RESIDENCY_PUBLIC,SCHOOL_RESIDENCY_CATHOLIC,SCHOOL_RESIDENCY_NO_RESPONSE,STRUCTURE_TYPE_SINGLE_DETACHED_HOUSE,STRUCTURE_TYPE_DUPLEX/FOURPLEX,STRUCTURE_TYPE_ROW_HOUSE,STRUCTURE_TYPE_APARTMENT_5+_STORIES,STRUCTURE_TYPE_APARTMENT_1-4_STORIES,STRUCTURE_TYPE_MANUFACTURED/MOBILE_HOME,STRUCTURE_TYPE_INSTITUTION/COLLECTIVE_RESIDENCE,STRUCTURE_TYPE_HOTEL/MOTEL,STRUCTURE_TYPE_RV/TENT/OTHER,STRUCTURE_TYPE_NO_RESPONSE,TERM_OF_RESIDENCE_5_YEARS_OR_MORE,TERM_OF_RESIDENCE_3_YEARS_TO_LESS_THAN_5_YEARS,TERM_OF_RESIDENCE_1_YEAR_TO_LESS_THAN_3_YEARS,TERM_OF_RESIDENCE_LESS_THAN_1_YEAR,TERM_OF_RESIDENCE_CHILD_LESS_THAN_1_YEAR,TERM_OF_RESIDENCE_NO_RESPONSE,AGE_0 FEMALE,AGE_0 MALE,AGE_1 FEMALE,AGE_1 MALE,AGE_10 FEMALE,AGE_10 MALE,AGE_11 FEMALE,AGE_11 MALE,AGE_12 FEMALE,AGE_12 MALE,AGE_13 FEMALE,AGE_13 MALE,AGE_14 FEMALE,AGE_14 MALE,AGE_15 FEMALE,AGE_15 MALE,AGE_16 FEMALE,AGE_16 MALE,AGE_17 FEMALE,AGE_17 MALE,AGE_18 FEMALE,AGE_18 MALE,AGE_19 FEMALE,AGE_19 MALE,AGE_2 FEMALE,AGE_2 MALE,AGE_20 FEMALE,AGE_20 MALE,AGE_21 FEMALE,AGE_21 MALE,AGE_22 FEMALE,AGE_22 MALE,AGE_23 FEMALE,AGE_23 MALE,AGE_24 FEMALE,AGE_24 MALE,AGE_25 FEMALE,AGE_25 MALE,AGE_26 FEMALE,AGE_26 MALE,AGE_27 FEMALE,AGE_27 MALE,AGE_28 FEMALE,AGE_28 MALE,AGE_29 FEMALE,AGE_29 MALE,AGE_3 FEMALE,AGE_3 MALE,AGE_30 FEMALE,AGE_30 MALE,AGE_31 FEMALE,AGE_31 MALE,AGE_32 FEMALE,AGE_32 MALE,AGE_33 FEMALE,AGE_33 MALE,AGE_34 FEMALE,AGE_34 MALE,AGE_35 FEMALE,AGE_35 MALE,AGE_36 FEMALE,AGE_36 MALE,AGE_37 FEMALE,AGE_37 MALE,AGE_38 FEMALE,AGE_38 MALE,AGE_39 FEMALE,AGE_39 MALE,AGE_4 FEMALE,AGE_4 MALE,AGE_40 FEMALE,AGE_40 MALE,AGE_41 FEMALE,AGE_41 MALE,AGE_42 FEMALE,AGE_42 MALE,AGE_43 FEMALE,AGE_43 MALE,AGE_44 FEMALE,AGE_44 MALE,AGE_45 FEMALE,AGE_45 MALE,AGE_46 FEMALE,AGE_46 MALE,AGE_47 FEMALE,AGE_47 MALE,AGE_48 FEMALE,AGE_48 MALE,AGE_49 FEMALE,AGE_49 MALE,AGE_5 FEMALE,AGE_5 MALE,AGE_50 FEMALE,AGE_50 MALE,AGE_51 FEMALE,AGE_51 MALE,AGE_52 FEMALE,AGE_52 MALE,AGE_53 FEMALE,AGE_53 MALE,AGE_54 FEMALE,AGE_54 MALE,AGE_55 FEMALE,AGE_55 MALE,AGE_56 FEMALE,AGE_56 MALE,AGE_57 FEMALE,AGE_57 MALE,AGE_58 FEMALE,AGE_58 MALE,AGE_59 FEMALE,AGE_59 MALE,AGE_6 FEMALE,AGE_6 MALE,AGE_60 FEMALE,AGE_60 MALE,AGE_61 FEMALE,AGE_61 MALE,AGE_62 FEMALE,AGE_62 MALE,AGE_63 FEMALE,AGE_63 MALE,AGE_64 FEMALE,AGE_64 MALE,AGE_65 FEMALE,AGE_65 MALE,AGE_66 FEMALE,AGE_66 MALE,AGE_67 FEMALE,AGE_67 MALE,AGE_68 FEMALE,AGE_68 MALE,AGE_69 FEMALE,AGE_69 MALE,AGE_7 FEMALE,AGE_7 MALE,AGE_70 FEMALE,AGE_70 MALE,AGE_71 FEMALE,AGE_71 MALE,AGE_72 FEMALE,AGE_72 MALE,AGE_73 FEMALE,AGE_73 MALE,AGE_74 FEMALE,AGE_74 MALE,AGE_75 FEMALE,AGE_75 MALE,AGE_76 FEMALE,AGE_76 MALE,AGE_77 FEMALE,AGE_77 MALE,AGE_78 FEMALE,AGE_78 MALE,AGE_79 FEMALE,AGE_79 MALE,AGE_8 FEMALE,AGE_8 MALE,AGE_80 FEMALE,AGE_80 MALE,AGE_81 FEMALE,AGE_81 MALE,AGE_82 FEMALE,AGE_82 MALE,AGE_83 FEMALE,AGE_83 MALE,AGE_84 FEMALE,AGE_84 MALE,AGE_85+ FEMALE,AGE_85+ MALE,AGE_9 FEMALE,AGE_9 MALE,AGE_No Response FEMALE,AGE_No Response MALE
2410,KILKENNY,Ward 3,4697,484,544,1084,481,600,538,119,565,114,119,214,216,255,1166,738,190,2094,50,36,0,300,478,208,199,214,247,340,2143,227,709,118,542,1226,88,51,57,13,11,6,45,20,44,289,244,2066,171,424,66,10,74,1246,2012,266,365,2371,176,535,422,68,15,63,10,28,29,29,3490,1452,783,1293,14,212,0,661,0,0,0,0,0,2826,737,843,664,49,606,26,24,26,28,28,33,33,31,40,23,31,37,26,30,30,32,33,31,31,28,42,38,31,38,20,30,45,48,36,36,24,38,30,40,26,38,38,30,32,34,23,44,27,32,30,28,33,31,26,35,26,29,35,25,32,25,39,32,32,23,35,29,34,36,33,31,32,32,31,31,29,19,38,29,34,31,34,32,23,35,37,37,27,32,33,17,38,29,37,33,40,32,42,36,37,44,35,35,41,32,38,45,36,28,32,39,29,37,35,27,22,40,33,42,32,32,21,24,14,21,23,17,21,26,18,21,24,27,27,12,21,17,18,13,30,39,30,13,27,18,20,26,17,20,20,19,12,18,19,20,10,4,16,14,5,11,34,27,10,8,6,8,9,3,7,9,10,4,32,26,25,29,423,494
2420,KILLARNEY,Ward 7,3256,403,568,650,320,400,330,121,256,45,71,132,325,275,562,1072,97,1731,99,102,0,206,307,103,138,101,181,269,1738,159,414,73,538,1104,60,14,39,13,5,14,22,30,33,134,263,1192,479,376,86,11,45,754,1020,380,309,1793,156,569,305,92,12,40,23,32,41,159,2483,949,795,777,422,289,0,441,0,2,0,1,0,1455,559,863,704,48,598,28,23,29,18,20,12,24,16,20,17,12,15,20,17,20,18,23,29,23,16,22,21,18,21,27,28,20,25,29,38,33,38,26,31,34,37,37,38,28,36,25,39,36,41,30,38,11,20,34,38,27,26,26,28,23,23,31,31,27,26,19,27,20,27,20,32,12,22,20,18,16,34,25,20,20,16,18,18,23,38,17,24,16,25,18,22,24,27,23,22,18,24,21,27,14,36,19,21,20,24,23,16,21,21,19,21,22,26,19,16,16,18,23,19,12,21,14,11,9,10,7,18,9,10,4,10,13,15,6,9,11,8,10,9,20,25,3,5,12,5,9,1,3,6,12,6,8,11,12,4,9,9,9,9,10,7,25,19,17,6,9,10,7,9,13,3,7,7,33,24,20,13,349,473
6360,KING EDWARD PARK,Ward 11,3315,353,829,880,423,393,394,270,258,100,171,315,365,469,877,826,365,2068,101,268,0,194,215,89,94,172,132,306,1909,136,375,66,809,1336,5,15,96,42,3,4,25,29,7,76,430,1617,93,468,115,56,82,645,1134,389,298,1677,137,862,310,94,12,18,21,22,43,93,2487,639,1371,1537,341,133,0,425,0,1,0,0,0,1635,645,735,613,33,836,17,19,29,22,16,15,9,15,18,17,13,20,17,11,20,12,17,15,15,15,19,14,19,18,14,20,23,28,25,31,32,19,36,23,31,48,36,37,32,32,40,48,29,39,28,39,18,24,29,44,33,29,46,32,31,24,26,26,33,35,24,45,26,30,23,30,24,24,15,23,21,16,22,21,18,25,21,22,23,37,22,18,20,24,23,25,22,22,18,27,22,14,23,31,38,19,17,31,27,33,30,30,29,27,22,19,21,29,18,29,17,23,22,17,23,25,21,15,21,20,15,11,21,15,21,10,16,18,4,14,11,9,9,12,11,10,9,6,10,9,9,3,10,7,3,4,9,5,4,6,7,4,7,6,7,3,21,10,5,6,6,5,7,3,3,4,8,2,39,19,11,11,456,565
6370,KINISKI GARDENS,Ward 12,5754,586,412,1185,505,617,530,209,314,92,328,306,232,225,1791,253,136,2180,41,3,0,267,493,230,282,342,266,372,3254,201,424,67,554,1311,13,42,59,17,10,210,38,69,8,206,197,3202,313,521,33,12,106,980,2747,387,305,2520,127,666,245,36,3,29,4,7,42,229,4380,1639,733,2088,14,27,0,90,0,2,0,3,0,4079,783,728,595,59,508,30,31,35,41,23,30,35,35,47,35,31,43,40,36,33,48,46,48,44,51,48,47,51,64,48,23,57,57,39,58,43,43,51,54,44,64,49,46,45,55,49,54,46,51,38,48,39,26,49,59,50,59,37,48,43,55,47,47,37,44,45,43,33,44,45,39,35,36,43,46,41,37,41,26,37,41,40,37,54,65,51,37,38,39,50,46,46,49,53,35,27,34,46,40,52,51,48,55,63,45,57,52,58,52,51,60,59,42,46,39,39,38,28,39,42,54,35,41,24,23,28,31,26,25,15,22,20,19,20,19,16,23,10,13,46,36,13,15,16,19,8,8,9,10,8,4,7,8,7,2,6,2,3,13,5,10,38,34,3,2,8,1,4,3,5,3,3,3,7,8,31,26,333,408
4475,KINOKAMAU PLAINS AREA,Ward 1,92,6,18,17,12,1,4,1,4,1,1,0,6,8,26,9,7,42,2,4,0,2,9,4,5,0,4,8,52,4,9,1,18,24,0,0,1,0,0,0,0,1,1,7,8,57,4,0,1,0,2,17,39,4,5,47,3,18,8,0,0,3,0,0,0,0,72,26,18,48,0,0,0,0,0,0,0,0,0,67,13,7,11,0,18,0,0,0,0,1,0,0,2,2,0,1,0,1,0,0,1,0,2,2,1,0,1,0,1,0,1,0,1,0,2,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,1,1,1,1,1,0,0,2,0,0,2,1,1,1,0,0,1,1,0,0,0,0,0,2,2,1,2,1,0,1,0,0,0,3,1,1,0,0,0,0,1,2,2,2,3,1,0,0,2,1,0,0,1,3,1,2,0,1,1,0,0,2,0,1,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,2,10,9
2430,KIRKNESS,Ward 4,3320,409,218,745,327,423,354,128,369,77,89,144,236,132,817,565,47,1429,43,6,0,259,351,147,147,114,155,274,1750,137,284,81,248,912,12,17,32,4,4,57,56,20,11,187,117,1558,95,425,12,3,69,708,1353,279,272,1724,88,231,312,67,9,40,10,11,20,20,2584,940,423,740,101,161,0,476,0,0,0,0,0,1797,706,663,489,51,241,29,18,26,29,20,19,22,25,21,16,24,25,22,18,26,26,19,26,19,29,15,24,22,24,31,22,18,17,17,28,28,24,38,26,24,28,32,27,39,34,38,34,27,21,40,32,25,24,44,35,29,35,44,38,24,24,28,31,31,22,27,22,31,24,33,23,21,23,26,30,22,23,24,17,19,18,18,18,14,28,21,25,18,26,20,21,25,25,29,24,38,26,26,26,30,21,31,15,28,28,25,20,22,15,33,23,26,26,30,27,28,28,24,24,14,28,24,18,25,22,21,16,19,13,17,17,10,10,17,18,13,7,4,8,23,26,10,15,4,5,6,2,6,2,6,3,4,3,5,7,4,4,1,3,3,2,16,26,4,2,0,1,2,2,1,1,0,3,7,4,25,26,206,233
2440,KLARVATTEN,Ward 3,4809,337,363,1076,366,400,417,69,375,55,140,171,204,170,1531,140,114,1785,52,5,0,343,522,180,207,212,221,330,2597,130,310,30,427,979,62,125,50,7,64,16,39,70,33,198,142,2596,184,464,28,13,67,700,2339,274,206,2063,103,524,495,55,9,25,24,16,23,58,2867,1859,783,1501,54,287,0,0,0,0,0,0,0,2664,769,818,705,74,479,48,42,38,35,45,33,24,29,29,23,33,31,24,32,21,39,30,31,30,36,31,40,30,23,45,37,18,35,31,37,38,30,33,51,37,39,51,49,45,32,39,42,35,41,42,52,33,44,44,40,50,37,41,42,45,43,45,40,40,41,42,46,48,40,42,54,49,41,34,49,40,50,34,42,38,47,40,35,44,32,34,39,32,47,39,28,38,37,40,43,47,33,29,41,47,36,45,34,38,37,31,24,34,49,34,31,26,23,22,24,20,25,47,30,17,20,21,19,15,16,16,14,13,15,7,14,7,11,11,5,12,9,11,6,41,39,7,7,2,7,7,5,3,2,0,3,5,2,8,4,2,1,10,2,5,4,38,35,4,2,3,3,1,4,2,2,5,6,9,9,27,37,322,318
4240,LA PERLE,Ward 1,4348,538,310,1047,441,654,606,382,410,128,195,271,426,225,1265,593,106,1964,56,5,0,275,445,204,171,242,208,364,2194,151,509,67,366,1344,27,42,40,12,30,12,23,83,18,153,180,2162,212,495,74,7,82,858,1891,290,341,2160,154,360,304,71,6,49,9,12,64,41,3095,1205,896,991,145,446,0,442,0,1,0,0,0,2573,805,823,556,43,396,13,30,22,30,30,27,23,41,27,28,31,38,31,30,31,37,21,24,35,32,23,42,33,36,25,35,32,39,51,24,25,37,40,40,28,45,40,47,24,40,27,30,38,32,35,27,26,32,20,28,47,29,39,35,33,37,36,37,37,19,27,34,35,27,30,21,30,37,28,25,36,34,36,35,26,23,24,28,33,35,37,26,20,24,23,30,37,30,35,30,38,37,43,29,32,21,34,32,33,33,40,39,35,29,51,28,39,34,33,34,48,36,35,29,35,27,30,33,33,29,18,25,25,20,23,31,19,17,29,16,12,9,18,11,22,31,17,10,16,13,9,9,12,12,11,8,7,8,13,5,11,8,10,3,8,9,28,37,5,5,6,12,8,5,11,3,3,3,37,15,43,31,245,302
2450,LAGO LINDO,Ward 3,3612,180,247,789,378,503,458,132,366,122,216,331,269,106,1158,131,92,1381,13,5,0,187,316,129,114,186,152,265,1877,82,429,39,263,837,43,66,48,11,35,1,35,32,30,107,136,1944,147,310,14,4,64,665,1691,227,212,1496,108,305,202,30,3,16,5,7,19,26,2329,1292,418,1252,7,140,0,0,0,0,0,0,0,2515,445,438,308,34,299,15,18,26,22,29,22,22,17,16,30,21,16,22,23,17,17,17,17,24,15,24,25,28,27,15,20,35,32,19,34,23,27,33,31,24,30,35,24,30,32,23,28,20,36,19,44,15,17,27,27,18,29,28,19,23,18,21,25,20,17,20,20,24,14,18,26,24,23,16,22,17,22,23,20,12,21,23,21,22,19,24,23,20,19,25,26,28,25,38,29,20,25,35,31,40,27,41,28,30,39,29,37,32,47,42,37,38,48,36,21,34,29,19,23,37,36,34,41,33,28,18,21,17,24,21,24,17,15,11,18,16,13,17,11,22,29,8,9,11,14,13,11,3,5,6,5,5,6,5,5,3,3,2,1,5,4,14,24,7,1,3,2,0,2,3,2,3,1,13,7,19,22,194,206
6380,LAMBTON INDUSTRIAL,Ward 8,0,0,217,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,10,8,9,10,0,0,13,12,17,10,14,6,7,9,12,6,9,5,4,8,11,6,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5260,LANSDOWNE,Ward 10,798,89,330,231,134,171,120,114,49,21,36,78,37,182,247,117,178,542,4,2,0,30,64,31,28,57,32,69,365,16,177,13,335,270,4,7,10,8,3,3,4,5,10,33,185,383,26,104,16,21,29,178,443,23,50,335,32,334,58,10,0,5,1,1,6,3,670,140,407,342,0,0,61,145,0,0,0,0,0,538,99,101,84,5,390,5,2,3,2,2,5,5,6,1,7,5,3,6,5,6,4,5,5,1,6,4,6,6,8,6,1,7,7,6,9,3,6,7,8,8,7,3,4,3,5,1,5,4,5,5,3,2,5,6,3,4,5,3,6,2,7,7,6,6,4,2,0,3,3,6,6,3,5,5,3,4,1,5,6,4,4,7,6,2,4,7,9,9,1,3,6,5,2,6,8,6,5,8,6,5,6,8,10,5,8,2,9,8,6,3,5,9,1,15,6,7,8,4,2,8,4,6,8,6,1,2,6,6,8,5,6,6,2,3,7,6,5,3,0,6,4,3,2,3,0,3,2,6,4,6,3,8,9,6,6,7,8,4,2,6,8,3,6,1,1,3,5,3,2,1,2,0,3,12,7,3,7,169,211
6390,LARKSPUR,Ward 12,4136,552,434,1058,343,469,447,242,294,98,246,256,248,262,1355,172,203,1730,20,13,0,208,418,189,210,271,194,265,2356,122,354,39,496,915,9,28,57,28,9,190,24,51,6,174,239,2398,195,360,37,8,83,756,2216,203,184,1962,114,443,338,77,6,17,11,23,55,15,3367,909,846,1218,201,8,0,336,0,0,0,0,0,2770,640,660,542,56,454,28,32,26,26,29,27,31,35,25,31,34,35,34,22,40,37,17,35,27,38,37,41,43,38,19,23,32,37,29,38,35,37,35,31,37,58,30,38,42,32,32,47,33,39,32,37,22,33,37,41,35,28,29,35,30,38,37,27,31,30,27,34,23,33,32,24,28,30,31,22,39,27,32,26,32,23,39,28,31,42,34,28,34,30,37,35,38,30,34,41,22,24,40,34,42,25,34,45,32,38,34,39,40,37,45,37,31,34,36,26,36,40,20,30,28,27,27,25,19,26,20,28,15,15,18,19,15,13,18,15,11,14,9,12,34,37,9,9,2,9,7,5,5,3,7,13,7,5,6,3,5,3,6,4,3,7,21,29,0,2,3,2,3,3,6,2,1,4,11,9,40,25,244,357
3260,LAUDERDALE,Ward 2,2264,229,364,452,272,269,338,140,166,57,110,153,288,302,553,525,94,1172,62,73,0,162,162,70,74,83,113,202,1155,111,372,60,293,686,72,9,43,20,2,0,15,24,23,115,163,1079,157,203,44,8,39,537,850,266,195,1090,132,324,201,30,1,20,5,3,38,52,1232,503,1122,655,272,146,0,231,0,2,0,1,0,1184,344,555,350,24,400,8,15,13,17,9,8,13,19,11,11,6,16,9,16,6,6,11,9,14,13,15,9,7,15,15,16,14,15,13,9,16,18,16,19,20,20,25,22,18,13,19,16,17,19,14,23,14,12,21,22,17,20,11,12,15,21,14,16,13,7,15,7,13,11,14,11,12,11,12,15,16,14,11,13,19,16,9,24,13,18,15,7,14,13,7,19,14,16,16,24,6,10,27,17,14,21,21,13,15,18,17,20,21,19,11,14,10,24,12,19,12,9,7,8,13,21,11,9,7,11,8,10,10,9,3,8,6,7,15,5,5,5,3,5,9,9,7,4,7,9,7,3,11,6,6,9,7,7,9,7,9,6,10,1,8,6,7,9,3,8,12,7,1,6,5,5,7,7,29,14,7,14,303,409
6444,LAUREL,Ward 12,2466,1231,401,796,336,242,189,60,177,73,101,139,68,185,837,362,133,1332,159,0,0,327,390,164,128,133,223,201,1751,70,250,14,447,482,5,11,24,5,3,261,32,92,1,244,172,1648,162,268,9,1,44,714,1795,170,81,1561,82,409,922,76,8,53,19,32,53,21,2580,930,588,770,191,37,0,492,0,1,0,0,0,154,736,1560,1184,61,403,35,27,39,41,27,19,32,19,33,25,25,18,23,30,23,26,23,23,19,15,17,16,11,25,32,38,17,27,17,25,16,25,33,25,30,40,34,30,41,37,36,38,34,52,61,43,38,44,55,43,42,29,40,34,40,45,40,49,53,51,44,36,37,43,42,33,29,40,43,43,34,49,43,35,24,28,22,33,16,26,8,31,20,21,17,15,17,16,14,18,24,39,16,15,20,26,11,12,11,11,10,16,4,10,5,11,16,16,6,14,10,10,27,35,13,8,6,8,9,3,14,9,11,5,8,8,4,13,9,5,3,6,4,6,30,34,3,3,2,3,1,2,2,1,3,2,2,4,2,0,4,2,2,0,4,3,29,34,3,1,3,4,1,1,2,2,5,2,37,25,22,28,222,236
3270,LAURIER HEIGHTS,Ward 5,2328,94,310,527,280,430,301,367,129,87,88,277,146,208,844,161,159,1164,74,5,0,94,190,80,87,147,91,180,990,31,513,9,320,829,4,9,28,13,3,1,6,6,21,32,212,1119,75,116,31,27,57,661,1199,89,120,871,181,272,114,9,0,3,2,0,10,24,1819,562,351,941,0,0,0,27,0,275,0,0,0,1662,322,253,162,19,314,11,8,11,7,16,12,16,15,13,13,11,19,16,15,10,18,13,15,10,20,18,14,13,14,13,6,18,16,19,17,12,16,10,19,10,6,9,12,6,11,10,7,8,10,8,5,19,13,9,4,7,7,18,8,8,7,14,11,5,9,13,13,18,18,17,16,10,10,10,7,17,13,13,11,21,19,15,14,13,19,16,11,15,10,12,19,17,17,22,14,18,13,23,17,20,27,26,20,28,15,24,22,17,18,19,17,17,19,19,21,15,19,11,16,17,16,15,18,17,9,18,18,11,20,20,20,12,19,10,12,8,13,7,5,14,12,15,7,14,7,15,7,14,11,13,7,12,6,14,9,12,9,14,9,12,9,9,16,12,10,20,6,14,4,9,9,20,16,169,59,12,13,91,100
6400,LEE RIDGE,Ward 11,2267,483,69,542,354,282,265,85,289,45,72,125,268,4,645,384,1,1030,38,10,0,200,261,134,128,90,146,246,1107,87,320,59,41,650,15,16,39,20,8,21,23,61,2,154,21,1066,109,382,22,4,42,541,1066,129,207,1302,75,40,207,66,4,14,7,3,64,21,2091,585,143,402,150,322,0,121,83,0,0,0,0,1333,475,564,386,27,34,10,17,15,21,16,16,14,17,25,22,20,24,15,23,21,21,15,24,20,21,29,15,22,18,19,22,18,15,14,18,16,12,20,23,19,23,15,17,23,17,24,21,32,23,17,20,16,23,25,24,26,16,20,24,20,20,19,24,22,23,24,21,37,23,16,22,19,18,17,25,20,20,19,14,14,15,20,14,21,18,18,10,12,22,9,13,14,17,11,10,29,25,18,12,11,19,17,10,24,25,26,14,24,20,23,27,20,14,17,10,14,24,17,23,17,16,10,9,18,9,13,13,20,8,17,11,15,13,13,15,10,10,11,15,23,19,13,9,10,10,8,10,4,10,3,7,6,3,3,7,2,4,6,3,5,1,17,13,6,3,2,5,1,4,5,3,4,0,7,5,16,20,39,53
5630,LEGER,Ward 9,2057,353,119,544,172,300,246,149,171,65,98,162,98,61,692,61,41,794,9,3,0,106,271,114,143,181,106,139,1060,32,227,8,142,347,15,50,13,7,76,32,10,25,11,151,57,1079,74,171,56,4,47,538,1186,37,88,1018,56,144,64,16,3,10,2,7,25,6,1538,657,334,625,181,0,0,0,0,0,0,0,0,1437,448,316,133,13,182,6,9,7,11,13,24,25,21,19,20,21,14,20,16,19,22,22,22,19,22,14,19,19,18,10,12,12,20,12,14,8,14,7,19,12,18,7,13,6,9,14,10,13,16,12,6,12,13,10,14,14,13,12,12,15,13,13,19,20,11,17,9,17,9,13,11,14,15,16,14,24,17,28,17,26,17,21,33,27,28,28,19,19,20,14,21,19,20,31,21,8,16,19,24,18,17,20,21,21,16,13,19,19,17,20,12,10,13,20,13,6,19,14,19,14,13,15,14,8,15,11,8,9,10,7,7,13,11,12,10,9,6,5,5,23,22,6,5,6,2,6,6,6,6,3,7,3,2,1,5,5,2,4,5,2,1,23,16,0,2,1,0,2,4,5,2,2,1,5,3,16,22,127,112
